data,hora_inicio,duracao_segundos
2024-12-14,11:23:49,10.01
2024-12-14,11:24:01,10.01
2024-12-14,11:24:13,10.00
2024-12-14,11:24:25,10.00
2024-12-14,11:24:37,10.00
2024-12-14,11:24:49,10.00
2024-12-14,11:25:01,10.01
2024-12-14,11:25:13,10.01
2024-12-14,11:25:25,10.01
2024-12-14,11:25:37,10.06
2024-12-14,11:25:49,10.01
2024-12-14,11:26:01,10.00
2024-12-14,11:26:13,10.00
2024-12-14,11:26:25,10.01
2024-12-14,11:26:37,10.01
2024-12-14,11:26:49,10.01
2024-12-14,11:27:01,10.01
2024-12-14,11:27:13,10.01
2024-12-14,11:27:25,10.00
2024-12-14,11:27:37,10.01
2024-12-14,11:27:49,10.00
2024-12-14,11:28:01,10.01
2024-12-14,11:28:13,10.01
2024-12-14,11:28:25,10.01
2024-12-14,11:28:37,10.01
2024-12-14,11:28:49,10.01
2024-12-14,11:29:01,10.01
2024-12-14,11:29:13,10.00
2024-12-14,11:29:25,10.01
2024-12-14,11:29:37,10.00
2024-12-14,11:29:49,10.00
2024-12-14,11:30:01,10.01
2024-12-14,11:30:13,10.01
2024-12-14,11:30:25,10.00
2024-12-14,11:30:37,10.00
2024-12-14,11:30:49,10.01
2024-12-14,11:31:01,10.01
2024-12-14,11:31:13,10.01
2024-12-14,11:31:25,10.00
2024-12-14,11:31:37,10.01
2024-12-14,11:31:49,10.00
2024-12-14,11:32:01,10.00
2024-12-14,11:32:13,10.01
2024-12-14,11:32:25,10.01
2024-12-14,11:32:37,10.01
2024-12-14,11:32:49,10.01
2024-12-14,11:33:01,10.00
2024-12-14,11:33:13,10.01
2024-12-14,11:33:25,10.00
2024-12-14,11:33:37,10.01
2024-12-14,11:33:49,10.01
2024-12-14,11:34:01,10.00
2024-12-14,11:34:13,10.01
2024-12-14,11:34:25,10.01
2024-12-14,11:34:37,10.01
2024-12-14,11:34:49,10.00
2024-12-14,11:35:01,10.00
2024-12-14,11:35:13,10.00
2024-12-14,11:35:25,10.08
2024-12-14,11:35:37,10.01
2024-12-14,11:35:49,10.03
2024-12-14,11:36:01,10.07
2024-12-14,11:36:13,10.00
2024-12-14,11:36:25,10.00
2024-12-14,11:36:37,10.00
2024-12-14,11:36:49,10.00
2024-12-14,11:37:01,10.00
2024-12-14,11:37:13,10.00
2024-12-14,11:37:25,10.03
2024-12-14,11:37:37,10.00
2024-12-14,11:37:50,10.00
2024-12-14,11:38:02,10.00
2024-12-14,11:38:14,10.00
2024-12-14,11:38:26,10.00
2024-12-14,11:38:38,10.00
2024-12-14,11:38:50,10.08
2024-12-14,11:39:02,10.00
2024-12-14,11:39:14,10.00
2024-12-14,11:39:26,10.00
2024-12-14,11:39:38,10.01
2024-12-14,11:39:50,10.01
2024-12-14,11:40:02,10.00
2024-12-14,11:40:14,10.00
2024-12-14,11:40:26,10.00
2024-12-14,11:40:38,10.00
2024-12-14,11:40:50,10.00
2024-12-14,11:41:02,10.08
2024-12-14,11:41:14,10.07
2024-12-14,11:41:26,10.01
2024-12-14,11:41:38,10.01
2024-12-14,11:41:50,10.00
2024-12-14,11:42:02,10.01
2024-12-14,11:42:14,10.01
2024-12-14,11:42:26,10.00
